reward_today,future_reward,delay
999,1000,365
999,1000,270
999,1000,180
999,1000,90
999,1000,30
999,1000,7
999,1000,1
999,1000,1825
990,995,270
990,995,180
990,995,90
990,995,30
990,995,7
990,995,1
990,995,1825
990,995,365
940,960,180
940,960,90
940,960,30
940,960,7
940,960,1
940,960,1825
940,960,365
940,960,270
850,920,90
850,920,30
850,920,7
850,920,1
850,920,1825
850,920,365
850,920,270
850,920,180
750,800,30
750,800,7
750,800,1
750,800,1825
750,800,365
750,800,270
750,800,180
750,800,90
650,700,7
650,700,1
650,700,1825
650,700,365
650,700,270
650,700,180
650,700,90
650,700,30
550,600,1
550,600,1825
550,600,365
550,600,270
550,600,180
550,600,90
550,600,30
550,600,7
450,500,1825
450,500,365
450,500,270
450,500,180
450,500,90
450,500,30
450,500,7
450,500,1
350,400,365
350,400,270
350,400,180
350,400,90
350,400,30
350,400,7
350,400,1
350,400,1825
250,300,270
250,300,180
250,300,90
250,300,30
250,300,7
250,300,1
250,300,1825
250,300,365
150,200,180
150,200,90
150,200,30
150,200,7
150,200,1
150,200,1825
150,200,365
150,200,270
80,100,90
80,100,30
80,100,7
80,100,1
80,100,1825
80,100,365
80,100,270
80,100,180
40,60,30
40,60,7
40,60,1
40,60,1825
40,60,365
40,60,270
40,60,180
40,60,90
10,20,7
10,20,1
10,20,1825
10,20,365
10,20,270
10,20,180
10,20,90
10,20,30
1,5,1
1,5,1825
1,5,365
1,5,270
1,5,180
1,5,90
1,5,30
1,5,7